house_type,room_count,house_size,location,city,latitude,longitude,num_bathrooms,num_balconies,security_deposit,status,price
Studio Apartment ,1 RK,,Wakad,Pune,18.59894371,73.76527405,,0.0,0,Furnished,4000
Apartment ,2 BHK,820.0,Chembur,Mumbai,19.06293297,72.89239502,2.0,0.0,0,Semi-Furnished,55000
Apartment ,3 BHK,1275.0,Kharadi,Pune,18.54770279,73.93723297,3.0,0.0,0,Furnished,35000
Apartment ,2 BHK,954.0,Wagholi,Pune,18.58126259,73.98873901,2.0,2.0,<=100k,Unfurnished,10000
Apartment ,1 BHK,620.0,Wadgaon Sheri,Pune,18.55481339,73.92793274,1.0,0.0,0,Unfurnished,12000
Apartment ,2 BHK,880.0,Santacruz East,Mumbai,19.07358932,72.86816406,2.0,0.0,0,Furnished,60000
Apartment ,2 BHK,900.0,Mira Road East,Mumbai,19.28087616,72.87459564,1.0,0.0,0,Semi-Furnished,14000
Apartment ,1 BHK,650.0,Ghansoli,Mumbai,19.11912727,73.00679016,,0.0,0,Furnished,49999
Independent Floor ,3 BHK,1820.0,Greater Kailash,Delhi,28.55015373,77.24145508,3.0,0.0,0,Semi-Furnished,155000
Apartment ,3 BHK,1400.0,Ulwe,Mumbai,18.98021317,73.02484894,3.0,0.0,0,Semi-Furnished,35000
Apartment ,2 BHK,989.0,Wagholi,Pune,18.58126259,73.98873901,2.0,2.0,<=100k,Furnished,16000
Apartment ,3 BHK,1300.0,Kondhwa,Pune,18.47638512,73.89437866,3.0,1.0,<=100k,Unfurnished,35000
Apartment ,1 BHK,360.0,Dombivli (West),Mumbai,19.21966934,73.08443451,1.0,0.0,0,Unfurnished,8000
Apartment ,1 BHK,,Dombivali,Mumbai,19.16758537,73.07501221,1.0,0.0,0,Unfurnished,11000
,2 BHK,850.0,Shalimar Bagh,Delhi,28.71339226,77.15860748,2.0,0.0,0,Unfurnished,26000
Apartment ,1 BHK,,Sector 21 Ghansoli,Mumbai,19.13016319,72.99938202,2.0,3.0,<=100k,Unfurnished,19800
Apartment ,2 BHK,1254.0,Ghansoli,Mumbai,19.12706566,73.00237274,2.0,4.0,>100k,Furnished,52000
Apartment ,1 BHK,600.0,Wanowrie,Pune,18.48850441,73.9008255,1.0,0.0,<=100k,Unfurnished,13000
Independent Floor ,4 BHK,3600.0,Safdarjung Enclave,Delhi,28.56477928,77.19426727,4.0,0.0,0,Semi-Furnished,300000
Apartment ,1 BHK,600.0,Kalwa,Mumbai,19.20784187,73.01161957,1.0,0.0,0,Semi-Furnished,15000
Apartment ,1 BHK,700.0,Viman Nagar,Pune,18.56255913,73.91382599,1.0,0.0,0,Unfurnished,16000
Apartment ,2 BHK,1100.0,Vashi,Mumbai,19.07254219,73.00183105,2.0,0.0,0,Furnished,50000
Apartment ,2 BHK,1100.0,Jogeshwari West,Mumbai,19.14773178,72.84082794,,0.0,0,Unfurnished,50000
Apartment ,3 BHK,1248.0,Mulund West,Mumbai,19.15857124,72.94791412,2.0,0.0,0,Semi-Furnished,42000
Independent Floor ,3 BHK,1872.0,Greater kailash 1,Delhi,28.55195999,77.23581696,3.0,0.0,0,Semi-Furnished,110000
Apartment ,2 BHK,1050.0,Andheri West,Mumbai,19.13529968,72.81290436,3.0,3.0,>100k,Semi-Furnished,75000
Apartment ,2 BHK,960.0,Wagholi,Pune,18.58333015,73.98332977,2.0,2.0,<=100k,Semi-Furnished,16000
Apartment ,2 BHK,989.0,Pimple Saudagar,Pune,18.5911026,73.80147552,2.0,0.0,<=100k,Unfurnished,18000
Apartment ,3 BHK,1890.0,Sector 22 Dwarka,Delhi,28.56194878,77.05779266,4.0,0.0,0,Semi-Furnished,30000
Apartment ,2 BHK,950.0,Colaba,Mumbai,18.90838814,72.81639862,,0.0,0,Semi-Furnished,130000
,3 BHK,980.0,Jogeshwari East,Mumbai,19.14051628,72.86472321,2.0,0.0,0,Semi-Furnished,120000
Independent Floor ,2 BHK,680.0,Manglapuri,Delhi,28.60354996,77.08726501,,0.0,0,Semi-Furnished,9000
,2 BHK,1180.0,Dhanori,Pune,18.59954453,73.9006958,2.0,1.0,<=100k,Semi-Furnished,24000
Independent Floor ,4 BHK,6521.0,Sarvpriya Vihar,Delhi,28.54276657,77.20674133,4.0,2.0,>100k,Unfurnished,329295
Apartment ,2 BHK,650.0,Janakpuri,Delhi,28.62412453,77.08145905,1.0,1.0,<=100k,Semi-Furnished,16000
Independent Floor ,3 BHK,2741.0,Safdarjung Enclave,Delhi,28.56125832,77.19052124,,2.0,>100k,Unfurnished,301012
Apartment ,2 BHK,1005.0,Lohegaon,Pune,18.60913467,73.90710449,2.0,0.0,0,Semi-Furnished,19900
Apartment ,2 BHK,1000.0,Andheri West,Mumbai,19.13294411,72.81173706,2.0,0.0,0,Unfurnished,85000
Independent Floor ,4 BHK,5896.0,Jor bagh,Delhi,28.67728996,77.15930176,4.0,2.0,>100k,Unfurnished,410202
Apartment ,1 BHK,550.0,Mulund East,Mumbai,19.17316628,72.96511841,2.0,0.0,0,Unfurnished,23000
Apartment ,1 BHK,510.0,Andheri East,Mumbai,19.11567116,72.88295746,2.0,0.0,0,Furnished,45000
,4 BHK,2700.0,Naraina,Delhi,28.63214111,77.13885498,4.0,0.0,0,Semi-Furnished,90000
Independent Floor ,3 BHK,1856.0,Defence Colony,Delhi,28.57183075,77.23332977,3.0,2.0,>100k,Unfurnished,235625
,1 RK,340.0,Goregaon East,Mumbai,19.15353012,72.88446045,1.0,0.0,0,Semi-Furnished,14000
Independent Floor ,4 BHK,5896.0,Vasant Vihar,Delhi,28.55739021,77.15714264,4.0,2.0,>100k,Unfurnished,381022
,2 BHK,,Borivali West,Mumbai,19.21877861,72.84942627,2.0,0.0,0,Semi-Furnished,46000
Apartment ,3 BHK,1250.0,Chembur,Mumbai,19.05024719,72.89205933,3.0,0.0,0,Semi-Furnished,78000
Apartment ,1 BHK,950.0,Kothrud,Pune,18.50198364,73.82216644,1.0,0.0,0,Furnished,15000
Apartment ,1 BHK,460.0,Kothrud,Pune,18.50792885,73.80702972,1.0,0.0,<=100k,Unfurnished,13000
Apartment ,1 BHK,450.0,Chattarpur,Delhi,28.49557686,77.18509674,1.0,0.0,,Semi-Furnished,8000
Apartment ,1 BHK,710.0,Titwala,Mumbai,19.29587364,73.20278931,,0.0,0,Unfurnished,8500
Independent Floor ,4 BHK,4500.0,Sheikh Sarai,Delhi,28.54195404,77.21608734,4.0,0.0,0,Semi-Furnished,250000
Studio Apartment ,1 RK,420.0,Girgaon,Mumbai,18.95305443,72.82118225,1.0,0.0,0,Furnished,15000
Independent Floor ,3 BHK,2856.0,Vasant Vihar,Delhi,28.55739021,77.15714264,,2.0,>100k,Unfurnished,401012
Apartment ,2 BHK,1065.0,Kharghar,Mumbai,19.07026482,73.06941223,2.0,3.0,<=100k,Unfurnished,26000
Apartment ,2 BHK,850.0,Andheri West,Mumbai,19.12837791,72.82110596,2.0,0.0,0,Semi-Furnished,63000
Apartment ,1 BHK,400.0,Dombivali East,Mumbai,19.20571518,73.09552765,1.0,1.0,<=100k,Semi-Furnished,4000
Apartment ,2 BHK,,Borivali East,Mumbai,19.22686195,72.86437988,2.0,1.0,>100k,Unfurnished,45000
,4 BHK,2050.0,Sheikh Sarai,Delhi,28.53895569,77.2000351,4.0,0.0,,Furnished,180000
Independent House ,1 BHK,650.0,Baner,Pune,18.55945969,73.79322052,2.0,0.0,0,Unfurnished,15000
Apartment ,1 BHK,573.0,Chikhali,Pune,18.67391586,73.80892944,1.0,0.0,0,Unfurnished,8500
Studio Apartment ,1 RK,340.0,Haiderpur,Delhi,28.71986961,77.14903259,1.0,0.0,,Semi-Furnished,6500
Apartment ,2 BHK,1000.0,Karve Nagar,Pune,18.48571777,73.81295776,2.0,0.0,0,Semi-Furnished,19000
Apartment ,2 BHK,1080.0,Aundh,Pune,18.5678463,73.80082703,2.0,0.0,<=100k,Semi-Furnished,26500
Apartment ,3 BHK,1301.0,Wakad,Pune,18.59833908,73.7580719,3.0,3.0,,Unfurnished,29500
Independent Floor ,3 BHK,1400.0,Rajouri Garden,Delhi,28.64152908,77.12091064,3.0,0.0,0,Semi-Furnished,27000
Apartment ,2 BHK,962.0,Thane West,Mumbai,19.27250862,72.96461487,,0.0,0,Unfurnished,20999
Apartment ,1 BHK,600.0,Amrut Nagar,Mumbai,19.10214233,72.91384125,1.0,0.0,,Semi-Furnished,28000
Apartment ,3 BHK,1405.0,Lohegaon,Pune,18.62320328,73.91668701,3.0,0.0,0,Semi-Furnished,26000
Independent Floor ,2 BHK,500.0,Govindpuri,Delhi,28.53511238,77.26423645,2.0,0.0,0,Semi-Furnished,13000
Independent Floor ,3 BHK,1150.0,East of Kailash,Delhi,28.55871391,77.25095367,3.0,2.0,<=100k,Unfurnished,40000
,3 BHK,3100.0,Defence Colony,Delhi,28.57709885,77.23474884,3.0,2.0,>100k,Semi-Furnished,225000
Independent Floor ,1 BHK,550.0,Subhash Nagar,Delhi,28.63766098,77.11206818,,0.0,0,Furnished,18250
Apartment ,2 BHK,1000.0,Pimple Saudagar,Pune,18.59511375,73.78903961,2.0,2.0,<=100k,Unfurnished,25000
Apartment ,2 BHK,1068.0,Goregaon East,Mumbai,19.14554596,72.85346985,2.0,0.0,>100k,Furnished,90000
Apartment ,3 BHK,1400.0,Andheri West,Mumbai,19.13865662,72.82530975,,0.0,>100k,Furnished,130000
Apartment ,2 BHK,950.0,Dhanori,Pune,18.59778595,73.90550995,2.0,0.0,<=100k,Unfurnished,22000
Apartment ,1 BHK,453.0,Bhandup West,Mumbai,19.15924072,72.93253326,1.0,2.0,<=100k,Semi-Furnished,23000
Independent Floor ,2 BHK,750.0,Mansa Ram Park,Delhi,28.61807823,77.04087067,2.0,0.0,0,Furnished,20000
Apartment ,2 BHK,1150.0,Kalyan West,Mumbai,19.25474739,73.13502502,2.0,1.0,<=100k,Semi-Furnished,18000
Apartment ,3 BHK,1230.0,Sector 9 Rohini,Delhi,28.72058678,77.12262726,2.0,2.0,,Semi-Furnished,30000
Apartment ,1 BHK,650.0,Santacruz East,Mumbai,19.0833168,72.8532486,2.0,0.0,0,Unfurnished,28000
Apartment ,4 BHK,1900.0,Andheri West,Mumbai,19.12146759,72.82640076,4.0,0.0,0,Furnished,180000
,2 BHK,1200.0,Borivali East,Mumbai,19.22075844,72.85770416,2.0,0.0,>100k,Unfurnished,45000
Apartment ,2 BHK,1040.0,Chembur,Mumbai,19.05179214,72.89902496,2.0,0.0,0,Semi-Furnished,60000
Independent Floor ,4 BHK,5896.0,Greater Kailash II,Delhi,28.53174019,77.24913788,4.0,2.0,>100k,Unfurnished,401015
,4 BHK,5896.0,Anand Niketan,Delhi,28.57893944,77.16504669,4.0,2.0,>100k,Unfurnished,301022
Apartment ,1 BHK,573.0,Chikhali,Pune,18.67391586,73.80892944,1.0,0.0,0,Unfurnished,8500
Apartment ,1 BHK,710.0,Mira Road East,Mumbai,19.28744507,72.87618256,2.0,0.0,0,Semi-Furnished,21000
Apartment ,1 BHK,600.0,Naigaon East,Mumbai,19.36510086,72.86039734,2.0,0.0,0,Unfurnished,8500
Apartment ,2 BHK,922.0,Undri,Pune,18.44987106,73.91234589,2.0,0.0,<=100k,Unfurnished,15000
Apartment ,2 BHK,980.0,Wagholi,Pune,18.5781498,74.00430298,2.0,2.0,<=100k,Semi-Furnished,15000
Apartment ,2 BHK,850.0,Kanjurmarg,Mumbai,19.1339817,72.93009186,2.0,0.0,0,Semi-Furnished,45000
Apartment ,4 BHK,2200.0,Sector 22 Dwarka,Delhi,28.55875778,77.06130219,3.0,0.0,,Semi-Furnished,65000
,1 BHK,444.0,Badlapur East,Mumbai,19.14508629,73.24726868,2.0,3.0,<=100k,Unfurnished,6000
Apartment ,2 BHK,1250.0,Ghansoli,Mumbai,19.11885071,73.00692749,,0.0,0,Unfurnished,55000
Apartment ,4 BHK,7000.0,Bandra West,Mumbai,19.06009293,72.83030701,5.0,6.0,>100k,Furnished,600000
Apartment ,3 BHK,1300.0,Andheri West,Mumbai,19.14209175,72.82617188,3.0,0.0,0,Unfurnished,70000
Apartment ,1 BHK,585.0,Thane West,Mumbai,19.22903824,72.98190308,2.0,0.0,0,Furnished,28000
Apartment ,3 BHK,1650.0,Sector 2 Dwarka,Delhi,28.59669495,77.06964111,3.0,3.0,<=100k,Semi-Furnished,35000
Independent Floor ,3 BHK,1800.0,Green Park Extension,Delhi,28.55844879,77.20293427,4.0,0.0,0,Semi-Furnished,70000
Independent Floor ,3 BHK,1900.0,Kalkaji,Delhi,28.5351696,77.25666046,3.0,3.0,>100k,Unfurnished,53000
,2 BHK,1250.0,Ghansoli,Mumbai,19.11301613,73.00727081,2.0,0.0,0,Unfurnished,39999
Independent Floor ,3 BHK,2856.0,Sarvodaya Enclave,Delhi,28.5376606,77.20207214,3.0,2.0,>100k,Unfurnished,301102
Apartment ,2 BHK,1100.0,Andheri West,Mumbai,19.14638519,72.82272339,2.0,0.0,0,Furnished,60000
Apartment ,2 BHK,520.0,Kalyan West,Mumbai,19.25352097,73.13677979,2.0,2.0,,Unfurnished,20000
Apartment ,3 BHK,1360.0,Goregaon West,Mumbai,19.14982986,72.84686279,3.0,0.0,0,Semi-Furnished,89000
Apartment ,2 BHK,850.0,Sheikh Sarai,Delhi,28.53419876,77.21559143,2.0,1.0,<=100k,Semi-Furnished,22000
Apartment ,2 BHK,1034.0,Wagholi,Pune,18.56959343,73.95823669,2.0,0.0,<=100k,Unfurnished,16500
Apartment ,2 BHK,951.0,Wagholi,Pune,18.57373619,73.97103882,2.0,2.0,<=100k,Semi-Furnished,14500
Apartment ,3 BHK,1300.0,Kandivali West,Mumbai,19.21173286,72.84081268,3.0,0.0,0,Semi-Furnished,72000
Independent Floor ,3 BHK,690.0,Uttam Nagar,Delhi,28.62089157,77.0579834,2.0,0.0,0,Furnished,18000
Apartment ,2 BHK,1001.0,Vishrantwadi,Pune,18.57247734,73.8839798,2.0,0.0,<=100k,Unfurnished,27000
Apartment ,3 BHK,950.0,Jogeshwari West,Mumbai,19.1422596,72.8319397,3.0,0.0,0,Unfurnished,85000
Apartment ,3 BHK,1750.0,Malabar Hill,Mumbai,18.95371056,72.8004303,3.0,0.0,0,Furnished,200000
,2 BHK,1265.0,Kharghar,Mumbai,19.07069588,73.07765198,2.0,0.0,<=100k,Semi-Furnished,28000
Apartment ,1 BHK,650.0,Andheri East,Mumbai,19.1172924,72.8841095,2.0,0.0,0,Semi-Furnished,43000
Apartment ,3 BHK,1345.0,Borivali East,Mumbai,19.22131157,72.85739899,3.0,0.0,>100k,Unfurnished,75000
Apartment ,2 BHK,,Kharghar,Mumbai,19.07118607,73.07369232,2.0,0.0,<=100k,Furnished,13000
Independent Floor ,3 BHK,2000.0,Rajouri Garden,Delhi,28.64152908,77.12091064,3.0,0.0,0,Semi-Furnished,50000
Apartment ,3 BHK,1100.0,Santacruz East,Mumbai,19.07358932,72.86816406,3.0,0.0,0,Furnished,103000
Apartment ,1 BHK,420.0,Goregaon West,Mumbai,19.16604233,72.83409119,1.0,0.0,>100k,Semi-Furnished,30000
Independent Floor ,2 BHK,600.0,Uttam Nagar,Delhi,28.61945724,77.05670929,2.0,0.0,0,Furnished,20000
Apartment ,1 BHK,,Thane West,Mumbai,19.27623749,72.95905304,1.0,0.0,0,Semi-Furnished,13999
Independent House ,4 BHK,5211.0,Shanti Niketan,Delhi,28.57792091,77.16937256,4.0,2.0,>100k,Unfurnished,526161
Apartment ,1 BHK,600.0,Baner,Pune,18.54877853,73.76789093,1.0,1.0,<=100k,Unfurnished,17000
Apartment ,1 BHK,700.0,Ulwe,Mumbai,18.97488022,73.05581665,1.0,0.0,0,Unfurnished,9000
Independent Floor ,1 BHK,900.0,Lohegaon,Pune,18.60510826,73.91703796,1.0,1.0,,Unfurnished,6500
Apartment ,2 BHK,951.0,Wagholi,Pune,18.5670414,73.95563507,2.0,2.0,<=100k,Unfurnished,17000
Independent Floor ,4 BHK,5569.0,Safdarjung Enclave,Delhi,28.56125832,77.19052124,4.0,2.0,>100k,Unfurnished,235925
Independent Floor ,4 BHK,3150.0,Sarvpriya Vihar,Delhi,28.5420208,77.20693207,4.0,0.0,,Semi-Furnished,165000
Independent Floor ,3 BHK,1750.0,Poorvi Pitampura,Delhi,28.70433044,77.14995575,3.0,1.0,>100k,Semi-Furnished,55000
,1 BHK,,Jogeshwari West,Mumbai,19.14189911,72.84374237,2.0,0.0,0,Unfurnished,30000
Studio Apartment ,1 RK,344.0,Goregaon East,Mumbai,19.15221214,72.88626099,1.0,0.0,0,Unfurnished,10000
,3 BHK,900.0,Shalimar Bagh,Delhi,28.71273994,77.16290283,,1.0,<=100k,Semi-Furnished,31000
Apartment ,2 BHK,690.0,Kanjurmarg,Mumbai,19.1315136,72.92739868,2.0,0.0,0,Semi-Furnished,27000
Apartment ,1 BHK,600.0,Nigdi,Pune,18.6574707,73.76837921,1.0,1.0,<=100k,Furnished,13500
Apartment ,1 BHK,500.0,Koper Khairane,Mumbai,19.1027832,73.01050568,1.0,0.0,0,Furnished,18000
Apartment ,3 BHK,1367.0,Hadapsar,Pune,18.51945686,73.91488647,,0.0,0,Unfurnished,25000
Independent Floor ,5 BHK,6521.0,Panchsheel Park,Delhi,28.54154015,77.21611786,,2.0,>100k,Unfurnished,301012
Independent Floor ,4 BHK,5852.0,Sarvodaya Enclave,Delhi,28.5376606,77.20207214,4.0,2.0,>100k,Unfurnished,308225
Apartment ,2 BHK,1000.0,Kanjurmarg,Mumbai,19.12768173,72.9312439,2.0,0.0,0,Semi-Furnished,45000
Apartment ,1 BHK,570.0,Nalasopara West,Mumbai,19.40540504,72.75317383,1.0,1.0,<=100k,Unfurnished,6000
Apartment ,3 BHK,1248.0,Mulund West,Mumbai,19.15857124,72.94791412,2.0,0.0,0,Semi-Furnished,42000
Apartment ,2 BHK,1200.0,Wagholi,Pune,18.58279419,73.97045135,,2.0,<=100k,Semi-Furnished,20000
Independent Floor ,3 BHK,1800.0,Pitampura,Delhi,28.69317627,77.13703156,3.0,0.0,0,Furnished,60000
Apartment ,2 BHK,950.0,Wagholi,Pune,18.54379272,73.92418671,2.0,0.0,0,Unfurnished,25000
Apartment ,2 BHK,777.0,Rahatani,Pune,18.60426903,73.78177643,2.0,1.0,<=100k,Unfurnished,16000
Independent Floor ,4 BHK,1900.0,Defence Colony,Delhi,28.57263374,77.23251343,4.0,0.0,0,Semi-Furnished,200000
Apartment ,2 BHK,1045.0,Wagholi,Pune,18.5841217,74.02622223,2.0,2.0,<=100k,Unfurnished,13000
Apartment ,4 BHK,2465.0,Goregaon East,Mumbai,19.17181015,72.87014771,4.0,0.0,>100k,Semi-Furnished,87000
Apartment ,2 BHK,1140.0,Kalyan West,Mumbai,19.26477242,73.13123322,2.0,0.0,0,Unfurnished,15000
Independent Floor ,3 BHK,2856.0,Golf Links,Delhi,28.59763908,77.23332977,,3.0,>100k,Unfurnished,301022
Independent Floor ,2 BHK,951.0,Subhash Nagar,Delhi,28.63544846,77.11630249,2.0,0.0,0,Semi-Furnished,25500
Apartment ,2 BHK,1245.0,Dapodi,Pune,18.58242989,73.8307724,2.0,1.0,,Semi-Furnished,23000
Independent Floor ,4 BHK,5896.0,Hauz Khas,Delhi,28.55542183,77.20988464,4.0,2.0,,Unfurnished,301022
Independent Floor ,3 BHK,4500.0,Jor bagh,Delhi,28.58775711,77.21530914,3.0,0.0,0,Semi-Furnished,450000
Apartment ,2 BHK,1100.0,Chembur,Mumbai,19.04534531,72.91001892,2.0,0.0,>100k,Semi-Furnished,55000
Apartment ,3 BHK,1845.0,Parel,Mumbai,18.99886894,72.84266663,,0.0,0,Furnished,375000
Apartment ,3 BHK,1450.0,Juhu,Mumbai,19.10879707,72.82907867,3.0,0.0,0,Semi-Furnished,150000
Independent Floor ,3 BHK,2856.0,Hauz Khas,Delhi,28.55542183,77.20988464,3.0,2.0,>100k,Unfurnished,301022
Independent Floor ,3 BHK,2000.0,Rajouri Garden,Delhi,28.64152908,77.12091064,3.0,0.0,0,Unfurnished,50100
Apartment ,2 BHK,741.0,Wagholi,Pune,18.57751656,73.9812851,2.0,2.0,,Unfurnished,11000
Independent Floor ,4 BHK,5896.0,Maharani Bagh,Delhi,28.57262039,77.26422119,4.0,2.0,>100k,Unfurnished,310102
Apartment ,3 BHK,1750.0,Chembur,Mumbai,19.05800629,72.9004364,3.0,1.0,>100k,Semi-Furnished,95000
Apartment ,2 BHK,925.0,Andheri West,Mumbai,19.14537239,72.82387543,2.0,0.0,0,Unfurnished,48000
Apartment ,1 BHK,575.0,Mira Road East,Mumbai,19.28087616,72.87459564,1.0,0.0,0,Furnished,20000
Apartment ,1 BHK,550.0,Mundhwa,Pune,18.53367805,73.93003845,1.0,0.0,0,Unfurnished,12500
Villa ,4 BHK,6521.0,Malcha Marg,Delhi,28.60173035,77.18534088,4.0,2.0,>100k,Unfurnished,1549491
Independent Floor ,3 BHK,,Saket,Delhi,28.52354813,77.20014191,3.0,2.0,>100k,Unfurnished,301012
Apartment ,1 BHK,670.0,Virar,Mumbai,19.46809959,72.79780579,2.0,0.0,0,Furnished,6500
Apartment ,1 BHK,600.0,Wadgaon Sheri,Pune,18.55271912,73.92081451,1.0,0.0,0,Semi-Furnished,18000
,3 BHK,1450.0,Cuffe Parade,Mumbai,18.91054344,72.82027435,2.0,0.0,0,Furnished,220000
Apartment ,1 BHK,420.0,Chattarpur,Delhi,28.49385643,77.18325043,1.0,0.0,0,Furnished,14000
Apartment ,2 BHK,985.0,Wagholi,Pune,18.5841217,74.02622223,2.0,2.0,<=100k,Unfurnished,16500
Studio Apartment ,1 RK,342.0,Karampura,Delhi,28.66576004,77.15023041,1.0,0.0,0,Furnished,24000
Apartment ,2 BHK,1100.0,Seawoods,Mumbai,19.00620651,73.01461792,2.0,0.0,0,Furnished,63000
Apartment ,2 BHK,985.0,Wagholi,Pune,18.58279419,73.97045135,2.0,2.0,<=100k,Semi-Furnished,18000
Apartment ,2 BHK,1050.0,Kalyan West,Mumbai,19.24520874,73.12499237,2.0,2.0,<=100k,Furnished,24000
Independent Floor ,3 BHK,2450.0,Greater kailash 1,Delhi,28.55195999,77.23581696,3.0,0.0,0,Semi-Furnished,127000
Independent Floor ,3 BHK,2852.0,Hauz Khas,Delhi,28.55542183,77.20988464,3.0,2.0,>100k,Unfurnished,308212
Apartment ,1 BHK,670.0,Wanowrie,Pune,18.49789619,18.49789619,1.0,2.0,<=100k,Semi-Furnished,13000
Apartment ,2 BHK,790.0,Andheri East,Mumbai,19.11686325,72.86997986,2.0,0.0,0,Furnished,65000
Apartment ,1 BHK,535.0,Naigaon East,Mumbai,19.36005211,72.85678864,1.0,0.0,0,Semi-Furnished,5500
